size,best,avg,worst
83,417,415,324
107,579,565,457
130,703,720,597
153,904,921,730
85,427,424,336
56,246,241,193
106,555,560,449
125,663,687,557
165,989,1011,793
44,184,184,140
129,696,715,577
143,806,815,658
192,1184,1197,969
135,741,749,617
123,651,673,541
166,984,997,805
196,1220,1246,989
189,1163,1184,950
36,144,138,104
107,557,569,457
38,150,147,114
64,289,285,227
53,230,233,182
170,1015,1031,822
147,841,859,690
81,403,397,312
113,598,600,495
55,240,232,191
131,713,726,598
145,820,835,682
43,179,176,136
144,811,827,678
144,853,840,678
139,774,798,637
177,1069,1078,862
152,868,891,709
145,820,835,682
33,126,122,90
78,377,384,301
185,1130,1138,923
45,192,188,145
177,1069,1078,862
132,719,738,597
161,944,960,765
159,928,948,749
41,168,161,119
132,719,738,597
142,798,816,664
65,298,293,231
182,1105,1117,905
137,759,769,631
60,265,271,206
178,1074,1095,867
56,246,241,193
139,774,798,637
182,1101,1132,905
101,528,524,426
199,1233,1267,1018
54,235,229,181
112,590,597,487
52,222,225,172
121,646,654,524
92,463,469,380
127,680,689,561
150,859,870,703
193,1193,1204,964
109,569,576,467
95,487,491,391
176,1057,1073,863
176,1069,1096,863
77,371,373,294
53,229,224,182
63,283,272,233
49,210,206,160
94,478,484,382
61,273,272,218
91,458,456,366
188,1143,1179,948
146,827,840,674
40,161,156,120
186,1139,1157,928
124,654,678,549
199,1233,1267,1018
196,1217,1241,989
155,904,916,742
137,759,769,631
164,969,971,793
65,298,293,231
93,472,477,379
116,608,623,509
55,241,233,191
129,696,715,577
76,362,369,286
44,184,184,140
133,726,742,607
61,273,272,218
83,414,411,324
136,749,766,617
35,138,134,105
159,928,948,749
